dish_id,base_dish_name,regional_alias_name,english_translated_name,region,state,city_or_district,community_identity,gi_status,gi_tag_details,famousness_tier,dish_type,consumption_type,consumption_time,occasion_description,cooking_method,ingredients_used,dish_image_url,source_type,source_url
Z1-RJ-01,Dal Baati Churma,Dal Baati Churma,Traditional wheat dumplings with lentils and sweet crumble,North,Rajasthan,Jaipur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-02,Laal Maas,Red Mutton Curry,Spicy red mutton curry,North,Rajasthan,Jodhpur,Rajasthani,NA,NA,Global,Non-Veg,occasional,,Prepared for festive and royal-style meals in Rajasthan.,Simmered/Stewed,"mutton, red chili, yogurt, garlic, ghee, spices",https://placehold.co/1200x800?text=Laal%20Maas,Wikipedia,https://en.wikipedia.org/wiki/Laal_maans
Z1-PB-01,Sarson da Saag,Mustard Greens Curry,Slow-cooked mustard greens with spices,North,Punjab,Amritsar,Punjabi,NA,NA,Global,Veg,everyday,lunch,,Simmered/Stewed,"mustard greens, spinach, maize flour, ginger, garlic, ghee, spices",https://placehold.co/1200x800?text=Sarson%20da%20Saag,Wikipedia,https://en.wikipedia.org/wiki/Sarson_da_saag
Z1-PB-02,Tandoori Chicken,Tandoori Chicken,Marinated chicken roasted in a tandoor,North,Punjab,Amritsar,Punjabi,NA,NA,Global,Non-Veg,occasional,,Common at celebratory meals and restaurant service.,Tandoor/Clay-Oven,"chicken, yogurt, ginger, garlic, chili, lemon, spices",https://placehold.co/1200x800?text=Tandoori%20Chicken,Wikipedia,https://en.wikipedia.org/wiki/Tandoori_chicken
Z1-HR-01,Bajra Khichdi,Pearl Millet Khichdi,Pearl millet and lentil khichdi,North,Haryana,Karnal,Haryanvi,NA,NA,National,Veg,everyday,lunch,,Boiled,"pearl millet, moong dal, ghee, cumin, spices",https://placehold.co/1200x800?text=Bajra%20Khichdi,Wikipedia,https://en.wikipedia.org/wiki/Khichdi
Z1-HR-02,Kachri ki Sabzi,Kachri Curry,Wild melon curry,North,Haryana,Hisar,Haryanvi,NA,NA,National,Veg,everyday,lunch,,Sauteed/Bhuna,"kachri, onion, tomato, curd, chili, spices",https://placehold.co/1200x800?text=Kachri%20ki%20Sabzi,Wikipedia,https://en.wikipedia.org/wiki/Kachri
Z1-HP-01,Siddu,Steamed Stuffed Bread,Steamed stuffed bread,North,Himachal Pradesh,Shimla,Himachali,NA,NA,National,Veg,everyday,breakfast,,Steamed,"wheat flour, yeast, walnut, poppy seeds, ghee",https://placehold.co/1200x800?text=Siddu,Wikipedia,https://en.wikipedia.org/wiki/Siddu
Z1-HP-02,Dham,Himachali Feast,Traditional Himachali feast platter,North,Himachal Pradesh,Mandi,Himachali,NA,NA,National,Veg,occasional,,"Prepared for weddings, community feasts, and festival gatherings.",Dum/Braised,"rice, lentils, rajma, yogurt, ghee, spices",https://placehold.co/1200x800?text=Dham,Wikipedia,https://en.wikipedia.org/wiki/Himachali_dham
Z1-UK-01,Kafuli,Spinach and Fenugreek Curry,Thick spinach and fenugreek curry,North,Uttarakhand,Dehradun,Garhwali/Kumaoni,NA,NA,National,Veg,everyday,lunch,,Simmered/Stewed,"spinach, fenugreek, rice flour, garlic, spices, ghee",https://placehold.co/1200x800?text=Kafuli,Wikipedia,https://en.wikipedia.org/wiki/Kafuli
Z1-UK-02,Bal Mithai,Bal Mithai,Roasted khoya fudge with sugar balls,North,Uttarakhand,Kumaon,Garhwali/Kumaoni,NA,NA,National,Veg,occasional,,Popular as a festival sweet and gift during celebrations.,Roasted,"khoya, sugar, milk solids, cocoa, sugar balls",https://placehold.co/1200x800?text=Bal%20Mithai,Wikipedia,https://en.wikipedia.org/wiki/Bal_mithai
