dish_id,base_dish_name,regional_alias_name,english_translated_name,region,state,city_or_district,community_identity,gi_status,gi_tag_details,famousness_tier(Regional/National/Global),dish_type(Veg/Non-Veg),consumption_type(everyday/occasional),consumption_time(if consumption_type is everyday specify when it is consumed? breakfast/lunch/snack/dinner),"occasion_description(if consumption_type is occasional, specify the occasion description and cultural importance)",cooking_method,ingredients_used,source_type,source_url
PB021,Pindi Chole,Pindi Chana,Dry Rawalpindi-style chickpeas,Punjabi refugee/urban Punjab,Punjab,Ludhiana/Jalandhar/Amritsar,Punjabi refugee and dhaba communities,NA,NA,National,Veg,everyday,lunch/dinner,,Dry-cooked,"Chickpeas, anardana, black pepper, chana masala, ghee",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB021,Puri Chole,Puri Chane,Fried wheat bread with chickpeas,Statewide Punjab,Punjab,Statewide,Punjabi households/halwais,NA,NA,National,Veg,everyday,breakfast/lunch,,Deep-fried bread with curry,"Wheat flour, chickpeas, spices, oil",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB021,Sookhe Chole,Dry Chickpeas,Dry spiced chickpeas,Statewide Punjab,Punjab,Statewide,Households and halwai meals,NA,NA,Regional,Veg,everyday,breakfast/lunch,,Dry-cooked,"Chickpeas, chana masala, amchur, chilli",web/official/food article,https://en.wikipedia.org/wiki/Chole_bhature
PB021,Tikki Chole,Aloo Tikki Chole,Potato patties with chickpeas,Statewide Punjab,Punjab,Statewide,Street-food vendors,NA,NA,Regional,Veg,everyday,snack,,Fried and topped,"Potato tikki, chole, chutneys, onion",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB022,Aloo Paratha,Aloo Da Paratha,Potato-stuffed wheat flatbread,Statewide Punjab,Punjab,Statewide,Punjabi households and dhabas,NA,NA,Global,Veg,everyday,breakfast/dinner,,Stuffed and griddle-cooked,"Wheat flour, potato, green chilli, coriander, ghee/butter",web/official/food article,https://en.wikipedia.org/wiki/Paratha
PB022,Gobhi Paratha,Gobi Da Paratha,Cauliflower-stuffed flatbread,Statewide Punjab,Punjab,Statewide,Punjabi households,NA,NA,National,Veg,everyday,breakfast/dinner,,Stuffed and griddle-cooked,"Wheat flour, cauliflower, spices, ghee",web/official/food article,https://en.wikipedia.org/wiki/Paratha
PB022,Methi Paratha,Methi Da Paratha,Fenugreek flatbread,Statewide Punjab,Punjab,Statewide,Punjabi households,NA,NA,National,Veg,everyday,breakfast/dinner,,Kneaded and griddle-cooked,"Wheat flour, fenugreek leaves, chilli, spices, ghee",web/official/food article,https://en.wikipedia.org/wiki/Paratha
PB022,Lachha Paratha,Layered Paratha,Layered wheat flatbread,Statewide Punjab,Punjab,Statewide,Dhabas and restaurants,NA,NA,National,Veg,everyday,lunch/dinner,,Layered and griddle-cooked,"Wheat flour, ghee, salt",web/official/food article,https://en.wikipedia.org/wiki/Paratha
PB022,Anda Paratha,Egg Paratha,Egg-coated/stuffed flatbread,Urban Punjab,Punjab,Statewide,Dhaba/student food culture,NA,NA,Regional,Non-Veg,everyday,breakfast/dinner/snack,,Griddle-cooked,"Egg, wheat paratha, onion, chilli, spices",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB022,Keema Paratha,Qeema Paratha,Minced-meat stuffed flatbread,Punjabi Muslim/Urban Punjab,Punjab,Malerkotla/Ludhiana/Amritsar,Punjabi Muslim and dhaba households,NA,NA,Regional,Non-Veg,occasional,,Meat-heavy breakfast or dinner for guests,Stuffed and griddle-cooked,"Wheat flour, minced mutton/chicken, spices",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB023,Amritsari Kulcha,Amritsari Kulcha,Stuffed tandoor-baked kulcha,Majha,Punjab,Amritsar,Amritsari street-food and tandoor communities,NA,NA,Global,Veg,everyday,breakfast/lunch,Iconic Amritsar breakfast/street food served with chole and chutney,Stuffed and tandoor-baked,"Refined flour, potato/paneer/onion stuffing, butter, chole",web/official/food article,https://timesofindia.indiatimes.com/life-style/food-news/10-iconic-foods-you-must-try-in-amritsar-at-least-once/photostory/129891965.cms
PB023,Aloo Kulcha,Aloo Amritsari Kulcha,Potato-stuffed kulcha,Majha/Statewide,Punjab,Amritsar/Statewide,Punjabi tandoor vendors,NA,NA,National,Veg,everyday,breakfast/lunch,,Tandoor-baked,"Refined flour, potato, spices, butter",web/official/food article,https://en.wikipedia.org/wiki/Chole_bhature
PB023,Paneer Kulcha,Paneer Amritsari Kulcha,Paneer-stuffed kulcha,Majha/Statewide,Punjab,Amritsar/Statewide,Punjabi tandoor vendors,NA,NA,National,Veg,everyday,breakfast/lunch,,Tandoor-baked,"Refined flour, paneer, coriander, chilli, butter",web/official/food article,https://en.wikipedia.org/wiki/Chole_bhature
PB023,Onion Kulcha,Pyaz Kulcha,Onion-stuffed kulcha,Majha/Statewide,Punjab,Amritsar/Statewide,Punjabi tandoor vendors,NA,NA,Regional,Veg,everyday,breakfast/lunch,,Tandoor-baked,"Refined flour, onion, spices, butter",web/official/food article,https://en.wikipedia.org/wiki/Chole_bhature
PB023,Mixed Kulcha,Mix Kulcha,Mixed stuffing kulcha,Majha/Statewide,Punjab,Amritsar/Statewide,Punjabi tandoor vendors,NA,NA,Regional,Veg,everyday,breakfast/lunch,,Tandoor-baked,"Refined flour, potato, cauliflower, paneer, spices",web/official/food article,https://timesofindia.indiatimes.com/life-style/food-news/10-iconic-foods-you-must-try-in-amritsar-at-least-once/photostory/129891965.cms
PB023,Matra Kulcha,Matar Kulcha,White pea curry with kulcha,Urban Punjab,Punjab,Ludhiana/Amritsar/Jalandhar,Street-food vendors,NA,NA,Regional,Veg,everyday,breakfast/lunch/snack,,Boiled peas tossed and served with kulcha,"White peas, kulcha, onion, tomato, masala",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
PB023,Nutri Kulcha,Soya Nutri Kulcha,Soy-protein curry with kulcha,Urban Punjab,Punjab,Ludhiana/Jalandhar/Patiala,Punjabi vegetarian street-food vendors,NA,NA,Regional,Veg,everyday,lunch/snack/dinner,,Soy chunks simmered with masala,"Soya chunks, kulcha, onion, tomato, butter, spices",web/official/food article,https://en.wikipedia.org/wiki/Punjabi_cuisine
